id_maj,id_min,issue_code,severity,severity_weight,affected_components,resolution,resolution_status,created_at,creator_id,notes
10,5,10-5,Medium,100,Profile,Confirmed,(S),2021-04-13 15:43:07,3230,
10,8,10-8,Medium,100,Profile,Confirmed,(S),2021-04-13 15:46:44,8058,
10,9,10-9,High,1000,Profile,Confirmed,(S),2021-04-13 15:46:53,3230,
10,11,10-11,Medium,100,Profile,Confirmed,(S),2021-04-13 15:49:22,3230,
10,14,10-14,Low,10,Profile,Confirmed,(S),2021-04-13 15:51:06,3230,
10,17,10-17,Low,10,Profile,Confirmed,(S),2021-04-13 15:54:23,3230,
10,20,10-20,Medium,100,Profile,Confirmed,(S),2021-04-13 15:58:32,3230,
10,22,10-22,Critical,10000,Profile,Confirmed,(S),2021-04-13 16:00:20,4487,
10,27,10-27,High,1000,Profile,Confirmed,(S),2021-04-13 16:03:13,4075,
10,28,10-28,Medium,100,Profile,Confirmed,(S),2021-04-13 16:05:16,3230,
10,32,10-32,Medium,100,Profile,Confirmed,(S),2021-04-13 16:06:36,1765,
10,38,10-38,Medium,100,Profile,Confirmed,(S),2021-04-13 16:16:11,1765,
10,43,10-43,Low,10,Profile,Confirmed,(S),2021-04-13 16:22:34,5589,
10,65,10-65,Medium,100,Profile,Confirmed,(S),2021-04-13 17:01:19,5271,
10,74,10-74,High,1000,Profile,Confirmed,(S),2021-04-13 17:28:46,8124,
10,76,10-76,Low,10,Profile,Confirmed,(S),2021-04-13 17:38:23,8124,
10,87,10-87,High,1000,Profile,Confirmed,(S),2021-04-13 19:24:03,4487,
10,89,10-89,Medium,100,Profile,Confirmed,(S),2021-04-13 20:08:18,7594,
10,90,10-90,Medium,100,Profile,Confirmed,(S),2021-04-13 20:40:51,4487,
10,91,10-91,Medium,100,Profile,Confirmed,(S),2021-04-13 20:44:48,7594,
10,92,10-92,Low,10,Profile,Confirmed,(S),2021-04-13 20:47:27,6435,
10,95,10-95,High,1000,Profile,Confirmed,(S),2021-04-13 21:15:51,4487,
