id_maj,id_min,issue_code,severity,severity_weight,affected_components,resolution,resolution_status,created_at,creator_id,notes
10,18,10-18,Medium,100,Workouts,Confirmed,(S),2021-04-13 15:57:28,5271,
10,21,10-21,Low,10,Workouts,Confirmed,(S),2021-04-13 15:59:19,8124,
10,24,10-24,High,1000,Workouts,Confirmed,(S),2021-04-13 16:00:55,5589,
10,30,10-30,Low,10,Workouts,Confirmed,(S),2021-04-13 16:05:45,8124,
10,39,10-39,Medium,100,Workouts,Confirmed,(S),2021-04-13 16:17:27,4075,
10,45,10-45,High,1000,Workouts,Confirmed,(S),2021-04-13 16:25:40,4693,
10,46,10-46,Medium,100,Workouts,Confirmed,(S),2021-04-13 16:25:49,4487,
10,47,10-47,Critical,10000,Workouts,Confirmed,(S),2021-04-13 16:26:02,5271,
10,48,10-48,Critical,10000,Workouts,Confirmed,(S),2021-04-13 16:26:15,3230,
10,52,10-52,Medium,100,Workouts,Confirmed,(S),2021-04-13 16:32:11,3230,
10,59,10-59,Medium,100,Workouts,Confirmed,(S),2021-04-13 16:43:02,6380,
10,62,10-62,Medium,100,Workouts,Confirmed,(S),2021-04-13 16:45:50,6435,
10,63,10-63,High,1000,Workouts,Confirmed,(S),2021-04-13 16:46:16,4075,
10,66,10-66,Low,10,Workouts,Confirmed,(S),2021-04-13 17:02:08,6380,
10,70,10-70,Low,10,Workouts,Confirmed,(S),2021-04-13 17:07:06,5271,
10,71,10-71,Medium,100,Workouts,Confirmed,(S),2021-04-13 17:08:05,4487,
10,72,10-72,Medium,100,Workouts,Confirmed,(S),2021-04-13 17:09:32,5589,
10,86,10-86,Low,10,Workouts,Confirmed,(S),2021-04-13 19:14:45,7594,
10,88,10-88,Medium,100,Workouts,Confirmed,(S),2021-04-13 19:42:28,6435,
